"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000139200",30.7939469319315,0.642322519584026,0.168692486327928,3.80765340274486,0.000140291712855284,0.0319504355191277,"PIANP"
"ENSG00000153012",13.7874498188238,-1.10180554799213,0.290308524996786,-3.79529174351433,0.000147469939680283,0.0332508408395227,"LGI2"
"ENSG00000272668",156.910382728905,0.777644063564006,0.205015841968073,3.79309255372133,0.000148782669252245,0.0332508408395227,"LOC107985216"
"ENSG00000183837",357.243374651189,0.932807605180182,0.24663563710625,3.7821282282022,0.000155493222550216,0.0338028130076666,"PNMA3"
"ENSG00000237943",560.591320777126,0.5420332192249,0.143282135695467,3.78297836358987,0.000154962889489648,0.0338028130076666,"PRKCQ-AS1"
"ENSG00000246228",15.4237807858351,-2.73119912549577,0.721394139268863,-3.78600126730148,0.000153090893416189,0.0338028130076666,"CASC8"
"ENSG00000167914",17.3765329097389,1.52155914634885,0.404600215395639,3.76064838438357,0.000169473509157137,0.0361841073613804,"GSDMA"
"ENSG00000282600",10.6580953402336,-1.80761637808785,0.480475519871879,-3.76214042823629,0.000168465408423042,0.0361841073613804,"IGHV3-69-1"
"ENSG00000014257",527.618301672504,-0.631795077913882,0.168246902141184,-3.75516618655904,0.000173226499168762,0.0366580997754212,"ACP3"
"ENSG00000229727",9.88308185627846,1.06198862454997,0.282990705988772,3.75273322436286,0.000174916970671158,0.0366911361373632,"LOC100506274"
"ENSG00000258689",8.58758691052896,1.4873987139541,0.397221382322051,3.74450817642083,0.000180747491108528,0.0375844761293758,NA
"ENSG00000156886",90.478665003007,1.14119224024055,0.305696490642671,3.73308911018702,0.000189145639288472,0.0383308446805528,"ITGAD"
"ENSG00000211650",185.288941157049,-1.49169527427955,0.39939525143946,-3.73488485129288,0.000187801096409645,0.0383308446805528,"IGLV5-45"
"ENSG00000229474",652.865211699091,0.483806710636878,0.129553338289934,3.73442102706872,0.000188147516927818,0.0383308446805528,"PATL2"
"ENSG00000244879",777.835241326616,1.0038836879005,0.269365164712545,3.72685045956777,0.000193887414015918,0.0389615943811988,NA
"ENSG00000211959",458.16532603133,-1.16587982887738,0.313279696885193,-3.72153012298346,0.000198019238243872,0.0394602837010476,"IGHV4-39"
"ENSG00000151632",15.0043100178652,1.5876681311204,0.427688969826737,3.7122026592446,0.000205463366998935,0.0405899013873655,"AKR1C2"
"ENSG00000224420",9.91699061491679,1.1353879547382,0.30601669128279,3.71021577280237,0.00020708267341022,0.0405899013873655,"ADM5"
"ENSG00000256029",9.45374601582409,1.28479157019561,0.346752151948728,3.70521585223091,0.000211210788704302,0.0410624682137072,NA
"ENSG00000211804",58.6304178582306,1.11451729253387,0.301473713324053,3.69689708679802,0.000218250765696781,0.041801428715628,"TRDV1"
"ENSG00000286656",114.561331966723,0.69657873382562,0.188437779566923,3.69659807829689,0.000218507865573266,0.041801428715628,NA
"ENSG00000211749",46.2995801039083,0.972070443456521,0.264333459068121,3.67744002928517,0.000235586439755629,0.0447109407450505,"TRBV23-1"
"ENSG00000173585",54.3722256582107,-1.05772863311301,0.288555423050962,-3.66559956465003,0.000246759783168693,0.0456426392490686,"CCR9"
"ENSG00000211972",51.2073820046565,-1.6358500985516,0.446443478421427,-3.66418186762583,0.000248130435427547,0.0456426392490686,"IGHV3-66"
"ENSG00000224515",8.40776694934706,-3.22780753352698,0.879560396362531,-3.66979635153623,0.000242743776214332,0.0456426392490686,NA
"ENSG00000259591",1.80828448749682,3.04063610983842,0.829313652795134,3.66644887563373,0.000245942060762533,0.0456426392490686,NA
"ENSG00000211933",210.929574680364,-1.47874949895992,0.404644085673834,-3.65444485985118,0.000257739045572816,0.0466917711877481,"IGHV6-1"
"ENSG00000284600",2.11961205196512,2.57992558768043,0.70560106103778,3.65635162720127,0.000255830375006785,0.0466917711877481,NA
"ENSG00000211896",12706.7173360835,-1.75675982336821,0.481649238368633,-3.64738420290756,0.000264923640765344,0.0476324738467794,"IGHG1"
"ENSG00000120049",87.3731724904307,0.761276463871646,0.209122430698201,3.640338634789,0.000272279705332514,0.0485897357732568,"KCNIP2"
"ENSG00000010671",3159.30495789287,-0.276887181280114,0.0761226091020359,-3.63738427447975,0.000275420871698912,0.0487862170736007,"BTK"
