"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","SRR33775201","SRR33775202","SRR33775203","SRR33775204","SRR33775205","SRR33775206","SRR33775207","SRR33775208","SRR33775209","SRR33775211","SRR33775212"
"11","ENSG00000240505",82.938804563613,-3.78317839577521,0.782826804246277,-4.83271443345343,1.34683915530261e-06,0.00296378078120499,"TNFRSF13B",7.99833366024949,9.26776951302206,13.5440664690815,22.9843292014991,2.20140488543964,16.5665225899215,25.8186655870839,216.214447820566,417.378447589714,167.480085393124,12.8727774900417
"12","ENSG00000172673",1144.50652411783,2.17712302389297,0.453155581762263,4.80436104400705,1.55246472841942e-06,0.00313158010134338,"THEMIS",1662.51078223757,1549.57106257729,3271.85948560241,1100.14181123932,1113.91087203246,1932.17968732979,391.152783644321,128.049333175287,331.111777571172,431.976073910312,677.108095976193
"13","ENSG00000185585",84.5284427414479,-2.96150532204856,0.623137087919174,-4.75257432026368,2.00842906813114e-06,0.00373969492486018,"OLFML2A",21.7097627921058,17.6087620747419,19.3486663844022,11.8027636440131,42.9273952660729,11.3349891404726,55.5101310122304,60.875912493169,390.737270083988,234.880607563527,63.0766097012043
"14","ENSG00000066926",289.242330136364,2.33360626282132,0.496616307730338,4.69901255052718,2.61422390343867e-06,0.00451999312904545,"FECH",619.299549122175,955.507036792574,422.445882726114,267.115177206612,265.269288695476,200.542115562208,82.6197298786685,62.9750818894852,49.4764725106348,92.9310229925259,163.484274123529
"15","ENSG00000115414",1903.31286465741,-4.25972643519289,0.93437453233542,-4.55890682780696,5.14205761094949e-06,0.0066324931918866,"FN1",63.9866692819959,64.8743865911544,99.9681096527446,58.3926201335384,707.751670668843,239.778616433075,672.576238543536,324.321671730849,3690.43739829325,14602.4252502212,411.928879681334
"16","ENSG00000161835",2020.3919836268,-2.47495198159944,0.54059992639793,-4.5781581919374,4.69087898961208e-06,0.0066324931918866,"TAMALIN",581.59311900957,1388.3118730507,214.770196866864,226.737301582356,651.615846090132,883.25723071529,2543.13856032776,6936.7052701268,3038.36286315309,3970.50348785649,1789.31607111579
"17","ENSG00000167286",472.98948314992,2.57234386427686,0.565907794544411,4.54551764275973,5.48004064437462e-06,0.0066324931918866,"CD3D",573.59478534932,1055.59894753321,1855.53710626417,360.916088272189,341.217757243144,376.670408360321,100.692795789627,193.123584461088,40.596080008726,109.270543518684,195.666217848634
"18","ENSG00000196935",397.528269214881,-3.33556816778775,0.72855440924667,-4.57833776785011,4.68685455391717e-06,0.0066324931918866,"SRGAP1",148.540482261776,30.5836393929728,59.3359102455,100.012891930848,58.3372294641504,68.0099348428357,104.56559562769,1625.80669744688,753.564735161977,1367.41362403288,56.6402209561834
"19","ENSG00000232824",52.469656353769,-2.61424089925799,0.575104224509404,-4.54568196136637,5.475766720118e-06,0.0066324931918866,NA,18.2819055091417,11.1213234156265,7.09451100761413,14.2875559901211,19.8126439689567,24.4138227640949,65.8375972470639,56.6775737005367,210.592165045266,124.588844011958,24.4582772310792
"20","ENSG00000279958",27.3677777701231,-6.37783855087129,1.38639732598389,-4.60029634458872,4.21890312658912e-06,0.0066324931918866,NA,0,0,3.86973327688044,0,0,0,7.74559967612517,16.7933551705294,129.400005027814,141.949584571001,1.28727774900417
"21","ENSG00000242048",134.484300566131,-2.73774276892925,0.60616212098123,-4.51651905351246,6.28644631587685e-06,0.0069521621755003,"PRKAG2-AS2",25.1376200750698,26.876531587764,26.4431773920163,9.31797129790506,61.6393367923098,76.7291572585839,194.930925182483,533.189026664308,62.1627475133617,214.456206905829,248.444605557805
"22","ENSG00000276107",511.547807330061,-3.9896757572186,0.883563254781296,-4.51543874830574,6.3185808419816e-06,0.0069521621755003,NA,139.399529507205,20.3890929286485,0.644955546146739,77.6497608158755,125.480078470059,32.2611229382682,456.990380891385,644.445004669065,265.143147556992,3428.23565039461,436.387156912413
"23","ENSG00000166736",9.30985991697738,-6.02761669909192,1.34812821373618,-4.47110047670251,7.78181247242865e-06,0.00744070761471108,"HTR3A",0,1.85355390260441,0,0,0,0,1.29093327935419,34.6362950392169,45.6705900098168,11.2334203617339,7.72366649402501
"24","ENSG00000211801",19.8839002039263,3.25076441420169,0.727776619822201,4.46670630199122,7.94330606234613e-06,0.00744070761471108,"TRAV21",15.996667320499,32.4371932955772,61.2707768839402,50.3170450086873,16.5105366407973,24.4138227640949,2.58186655870839,2.09916939631617,0,4.0848801315396,9.01094424302918
"25","ENSG00000220305",11.469419452787,-4.8747347173978,1.0916696527115,-4.46539363376996,7.99216714791738e-06,0.00744070761471108,"HNRNPH1P1",1.14261909432136,0.926776951302206,1.93486663844022,0,0,0.871922241574817,41.3098649393342,26.2396174539522,1.26862750027269,6.1273201973094,46.3419989641501
"26","ENSG00000269954",201.946509606343,-3.31822054358147,0.741181005279842,-4.47693683451674,7.57216410832573e-06,0.00744070761471108,NA,15.996667320499,77.8492639093853,64.4955546146739,49.6958469221603,14.3091317553576,15.6946003483467,85.2015964373769,1084.2209931973,521.405902612075,235.901827596412,56.6402209561834
"27","ENSG00000236327",31.2367742076105,-2.98958046189873,0.673963998856566,-4.43581625572107,9.17240618598852e-06,0.00822323200511252,NA,9.14095275457085,10.1945464643243,3.86973327688044,0,7.70491709903873,14.8226781067719,58.0919975709388,102.859300419493,53.2823550114529,34.7214811180866,48.9165544621584
"28","ENSG00000117983",169.325809218362,-3.23350841379695,0.731817592272003,-4.41846226155645,9.9405632852889e-06,0.00829728534081735,"MUC5B",22.8523818864271,10.1945464643243,19.9936219305489,28.5751119802422,60.53863434959,68.8818570844105,188.476258785712,1146.14649038863,102.758827522088,126.631284077728,87.5348869322835
"29","ENSG00000290680",22.998629978477,-3.4152506102734,0.772097412700057,-4.42334160702614,9.71858895835278e-06,0.00829728534081735,NA,3.42785728296407,0,5.15964436917391,0,7.70491709903873,9.59114465732299,37.4370651012716,71.3717594747499,43.1333350092714,32.6790410523168,42.4801657171376
"30","ENSG00000124145",352.939815145436,-3.26071971805445,0.747194582123278,-4.36394989480326,1.27734845719521e-05,0.00838463715572807,"SDC4",59.4161929047105,145.503981354446,55.4661769686196,37.8930832781472,91.3583027457449,42.724189837166,100.692795789627,2302.78882775884,114.176475024542,725.066223348279,207.251717589671
"31","ENSG00000164821",315.116304332953,4.9054897641704,1.11671162268098,4.39279905799977,1.11900545626494e-05,0.00838463715572807,"DEFA4",1478.54910805183,721.959245064418,982.267296781484,0,178.313795720611,11.3349891404726,14.2002660728961,5.24792349079044,41.8647075089987,18.3819605919282,14.1600552390459
"32","ENSG00000171476",138.131764895349,1.83468756062546,0.419094185502866,4.37774520403818,1.19913418493887e-05,0.00838463715572807,"HOPX",303.936679089481,265.058208072431,194.776574936315,195.677397256006,179.41449816333,93.2956798485054,47.7645313361052,32.5371256429007,46.9392175100895,102.12200328849,57.9274987051876
"33","ENSG00000172116",412.660658754399,2.04104105252767,0.464620970836639,4.39291633533541,1.11840175693785e-05,0.00838463715572807,"CD8B",482.185257803612,1067.64704790014,1107.38867273395,330.477382032366,420.468333118971,366.207341461423,147.166393846378,97.6113769287021,119.250985025633,121.525183913303,279.339271533905
